date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:34	94104/94104	---M-Z	200	added ('OK')	text/html	etag:%2216f98-58744aae350fb-gzip%22	http://htmlbeans.com/html/schon/homepage1.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/homepage1.html	(from )
09:38:34	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2027%20Dec%202022%2004:08:36%20GMT	http://htmlbeans.com/robots.txt		(from )
09:38:34	67830/67830	---M-Z	200	added ('OK')	text/css	etag:%22108f6-58744ad4c06a4-gzip%22	http://htmlbeans.com/html/schon/css/bootstrap.css	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/css/bootstrap.css	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:35	166336/166336	---M-Z	200	added ('OK')	text/css	etag:%22289c0-58744ad51754a-gzip%22	http://htmlbeans.com/html/schon/css/animate.css	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/css/animate.css	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:35	118965/118965	---M-Z	200	added ('OK')	text/css	etag:%221d0b5-58744ad69a0e5-gzip%22	http://htmlbeans.com/html/schon/css/icon-fonts.css	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/css/icon-fonts.css	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:36	232342/232342	---M-Z	200	added ('OK')	text/css	etag:%2238b96-58c50105dfb9d-gzip%22	http://htmlbeans.com/html/schon/css/main.css	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/css/main.css	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:37	40320/40320	---M-Z	200	added ('OK')	text/css	etag:%229d80-58c5010f068ba-gzip%22	http://htmlbeans.com/html/schon/css/responsive.css	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/css/responsive.css	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:37	873/873	---M--	200	added ('OK')	image/svg+xml	etag:%22369-58744c0f407e4%22	http://htmlbeans.com/html/schon/images/svg/rings.svg	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/images/svg/rings.svg	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:37	2425/2425	---M--	200	added ('OK')	image/png	etag:%22979-58744b70d4291%22	http://htmlbeans.com/html/schon/images/mt-logo.png	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/images/mt-logo.png	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:37	2673/2673	---M--	200	added ('OK')	image/jpeg	etag:%22a71-58744bcd14c30%22	http://htmlbeans.com/html/schon/images/products/img36.jpg	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/images/products/img36.jpg	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:37	2035/2035	---M--	200	added ('OK')	image/jpeg	etag:%227f3-58744bce0117f%22	http://htmlbeans.com/html/schon/images/products/img37.jpg	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/images/products/img37.jpg	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:38	2121/2121	---M--	200	added ('OK')	image/jpeg	etag:%22849-58744bceadf2b%22	http://htmlbeans.com/html/schon/images/products/img38.jpg	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/images/products/img38.jpg	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:38	63830/63830	---M-Z	200	added ('OK')	text/html	etag:%22f956-58744ab003f5b-gzip%22	http://htmlbeans.com/html/schon/homepage2.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/homepage2.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:38	80837/80837	---M-Z	200	added ('OK')	text/html	etag:%2213bc5-58744ab13c771-gzip%22	http://htmlbeans.com/html/schon/homepage3.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/homepage3.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:38	48963/48963	---M-Z	200	added ('OK')	text/html	etag:%22bf43-58744ab1c435a-gzip%22	http://htmlbeans.com/html/schon/homepage4.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/homepage4.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:38	54917/54917	---M-Z	200	added ('OK')	text/html	etag:%22d685-58744ab2f2f2f-gzip%22	http://htmlbeans.com/html/schon/homepage5.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/homepage5.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:39	44878/44878	---M-Z	200	added ('OK')	text/html	etag:%22af4e-58744ab3808d9-gzip%22	http://htmlbeans.com/html/schon/homepage6.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/homepage6.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:39	41073/41073	---M-Z	200	added ('OK')	text/html	etag:%22a071-58744ab4a874d-gzip%22	http://htmlbeans.com/html/schon/homepage7.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/homepage7.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:39	49356/49356	---M-Z	200	added ('OK')	text/html	etag:%22c0cc-58744ab53af17-gzip%22	http://htmlbeans.com/html/schon/homepage8.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/homepage8.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:40	50946/50946	---M-Z	200	added ('OK')	text/html	etag:%22c702-58744ab65c02b-gzip%22	http://htmlbeans.com/html/schon/homepage9.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/homepage9.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:40	32653/32653	---M-Z	200	added ('OK')	text/html	etag:%227f8d-58744aaf7a432-gzip%22	http://htmlbeans.com/html/schon/homepage10.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/homepage10.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:40	40740/40740	---M-Z	200	added ('OK')	text/html	etag:%229f24-58744abd2c2e4-gzip%22	http://htmlbeans.com/html/schon/product-grid-view.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-grid-view.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:40	40429/40429	---M-Z	200	added ('OK')	text/html	etag:%229ded-58744abdbdb0e-gzip%22	http://htmlbeans.com/html/schon/product-grid-view2.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-grid-view2.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:40	39517/39517	---M-Z	200	added ('OK')	text/html	etag:%229a5d-58744abed8e62-gzip%22	http://htmlbeans.com/html/schon/product-grid-view3.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-grid-view3.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:41	40138/40138	---M-Z	200	added ('OK')	text/html	etag:%229cca-58744abf713ec-gzip%22	http://htmlbeans.com/html/schon/product-grid-view4.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-grid-view4.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:41	38363/38363	---M-Z	200	added ('OK')	text/html	etag:%2295db-58744ac08c740-gzip%22	http://htmlbeans.com/html/schon/product-grid-view5.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-grid-view5.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:41	37459/37459	---M-Z	200	added ('OK')	text/html	etag:%229253-58744ac12ba2b-gzip%22	http://htmlbeans.com/html/schon/product-grid-view6.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-grid-view6.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:42	37501/37501	---M-Z	200	added ('OK')	text/html	etag:%22927d-58744ac23d13e-gzip%22	http://htmlbeans.com/html/schon/product-grid-view7.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-grid-view7.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:42	34181/34181	---M-Z	200	added ('OK')	text/html	etag:%228585-58744aa8cb4bb-gzip%22	http://htmlbeans.com/html/schon/blog-right-sidebar.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/blog-right-sidebar.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:42	27254/27254	---M-Z	200	added ('OK')	text/html	etag:%226a76-58744aa56bfff-gzip%22	http://htmlbeans.com/html/schon/blog-fullwidth-page.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/blog-fullwidth-page.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:42	40106/40106	---M-Z	200	added ('OK')	text/html	etag:%229caa-58744aa913900-gzip%22	http://htmlbeans.com/html/schon/blog-right-sidebar2.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/blog-right-sidebar2.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:42	39433/39433	---M-Z	200	added ('OK')	text/html	etag:%229a09-58744aa7498c0-gzip%22	http://htmlbeans.com/html/schon/blog-postlist-3-masonry.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/blog-postlist-3-masonry.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:43	38187/38187	---M-Z	200	added ('OK')	text/html	etag:%22952b-58744aa71aabd-gzip%22	http://htmlbeans.com/html/schon/blog-post-detail-sidebar.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/blog-post-detail-sidebar.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:43	35259/35259	---M-Z	200	added ('OK')	text/html	etag:%2289bb-58744aa593102-gzip%22	http://htmlbeans.com/html/schon/blog-post-detail-full-width.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/blog-post-detail-full-width.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:43	40357/40357	---M-Z	200	added ('OK')	text/html	etag:%229da5-58744ac2e21e9-gzip%22	http://htmlbeans.com/html/schon/product-list-view.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-list-view.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:43	90271/90271	---M-Z	200	added ('OK')	text/html	etag:%221609f-58744ac40523d-gzip%22	http://htmlbeans.com/html/schon/product-quickview.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-quickview.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:44	36027/36027	---M-Z	200	added ('OK')	text/html	etag:%228cbb-58744abb7d826-gzip%22	http://htmlbeans.com/html/schon/product-detail.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-detail.html	(from http://htmlbeans.com/html/schon/homepage1.html)
09:38:44	36055/36055	---M-Z	200	added ('OK')	text/html	etag:%228cd7-58744abc09290-gzip%22	http://htmlbeans.com/html/schon/product-detail2.html	C:/My%20Web%20Sites/schon/htmlbeans.com/html/schon/product-detail2.html	(from http://htmlbeans.com/html/schon/homepage1.html)
